question_id,question_type,question,choices,answer,subject
40,multiple_choice,Cross-docking is popular because... (choose all that apply),"[""unloading from inbound to outbound trucks"", ""minimum storage at warehouse"", ""simplified handling of freight smaller transport fleet, computerized and freight handling."", ""reduced costs and time"", ""simple IT logistics system""]","[1, 3]",transport
41,multiple_choice,Which of the following is not an advantage of hub and spoke structure in transport?,"[""Economies of scales despite potentially higher number of transshipment needed"", ""Less number of direct point-to-point connections"", ""Shared facilities"", ""Less delays together with lower congestion at the hub""]",[3],transport
42,multiple_choice,What could be the reason for LIFO being less popullar or even prohibited method of valuing inventory?,"[""not suitable when costs increase fast"", ""remaining inventory can be overvalued"", ""near term tax obligations are high"", ""remaining inventory valued at current replacement cost"", ""lower profits in accounting""]",[4],transport
43,multiple_choice,Which of the following Is the LEAST correct definition of logistics?,"[""About how and when businesses move their material."", ""Cargo plane flight, truck delivery, train load, sea and river freight."", ""Component of supply chain, addressing efficient product movement, such as from manufacturer to retail store."", ""Storage and movement of goods from a companies' origin point through to the destination point.""]",[1],transport
44,multiple_choice,"Acording to SCOR reference model, any supply chain can be categorised and improved in the following processes:","[""Plan, Source, Make, Deliver, Return."", ""Procure, Manufacture, Sell"", ""Design, Measure, Analyze, Implement, Control"", ""Come, See, Conquer"", ""Supplier, Manufacturer, Distributor, Retailer""]",[0],transport
45,multiple_choice,Select correct statements about 'Cap and trade' principle (select all that apply),"[""Companies receive or buy emission allowances which they can trade with one another."", ""If a company reduces its emissions, it should not keep the spare allowances to cover future needs."", ""The caps tend to be reduced over time so that total emissions fall."", ""If a company does not surrender enough allowances to cover emissions, fines are imposed."", ""Companies can never buy international credits from emission-saving projects.""]","[0, 2, 3]",transport
46,multiple_choice,One of the statements about necessary measures to reduce emissions is NOT TRUE (select one wrong statement),"[""detailed methods to calculate and report the greenhouse gas intensity are not necessary"", ""use of biofuels, electricity and renewable fuels of non-biological origin (such as e-fuels)"", ""use less carbon intense fossil fuels"", ""reduction of upstream emissions at the extraction stage of fossil stock.""]",[0],transport
47,multiple_choice,Lead-time is...,"[""Time that passes from placing order until shipping."", ""Time of processing an order before shipment."", ""Moment of order delivery."", ""Time that ordered items spend in transit."", ""None of the other answers""]",[4],transport
48,multiple_choice,What can be said about spreadsheet models when comparing them to specialized software in business simulations such as programming languages (select all that apply)?,"[""Spreadsheets are more powerful and faster when dealing with large combination of parameters compared to Python, MATLAB, and other computing languages"", ""Spreadsheets have more intuitive user interface for beginners than computing languages."", ""Spreadsheets are easier and faster in getting simple graphs"", ""Spreadsheets are very hard to use for large simulations with many combinations of parameters"", ""Common spreadsheet software has limited support of advanced functions compared to specialized software for simulations.""]","[1, 2, 3, 4]",transport
49,multiple_choice,What are functions of transportation professionals? (select all that apply):,"[""To always satisfy 100% of demand for transport service"", ""Designing better transportation systems"", ""\u008bUsing resources, financial and otherwise, effectively in a transportation"", ""\u008bOperating transportation systems optimally"", ""\u008bMaintaining transportation systems efficiently""]","[1, 2, 3, 4]",transport
50,multiple_choice,Which statements about Models and Frameworks are correct? Choose all that apply.,"[""Framework is generally a qualitative view of a complex system."", ""Models are a representation of reality, they are usually not mathematical but qualitative in nature"", ""Transparent models allow transportation planners to look into the model and clearly see the assumptions"", ""Both models and frameworks are used to do analysis"", ""Model usually does not help in prediction of performance, flows, etc.""]","[0, 2, 3]",transport
51,multiple_choice,Which statements about modeling concepts are TRUE? Choose all that apply.,"[""If the number of customers is large, we can assume continuous variables where it is possible to have 1/2 unit or other fraction of demand"", ""Realistic models are usually easier to build and use to find solution"", ""Transportation professionals can have billions of options to choose from, so using model for mathematically searching through decision space using optimization is important."", ""Sometimes, scaling down the problem to make it easier to solve is right when developing models to predict performance."", ""Few transportation systems are internally interconnected or interconnected with other complex dynamic systems (e.g., the environment, the economy). \u008bThey rarely change.""]","[0, 2, 3]",transport
52,multiple_choice,Inventory holding costs usually involve the following considerations in transport (select all that apply):,"[""Inventory stuck in transit can have considerable value of time"", ""High discount rate (interest rate) favors faster delivery compared to lower rate in financing inventory"", ""Net present value cannot be negative or lower than absolute value of return on an investment"", ""Inventory cost is often estimated approximately in logistics as percentage of unit cost within one year period."", ""For uncertain (stochastic) demand, the inventory costs are often lower relative to constant (deterministic) demand because safety stock does not have to be kept in addition to cycle stock""]","[0, 1, 3]",transport
53,multiple_choice,"Select one FALSE statement about EOQ with planned shortages (POQ). Remember that only one wrong statement should be chosen, not correct statements.","[""If holding cost is much higher compared to shortage cost, then reducing the inventory level by allowing occasional stockout in POQ could be more profitable than no-shortage policy in EOQ."", ""EOQ model with planned shortages (POQ) cannot be suitable for estimation of nearly optimal order quantity in case of stochastic demand such as in RQ policy."", ""Planned shortages means that delivery of orders to customers can be delayed (backorder), even if it means extra cost for supplier."", ""Fixed ordering cost can include ordering and shipping and handling costs when they do not strongly depend on the number of units ordered."", ""Unlike the original EOQ model, occasional shortages are allowed in POQ as sometimes happens in B2B business""]",[1],transport
54,multiple_choice,Which statements about reorder point are correct? Select all that apply.,"[""Change in transport lead time does not strongly affect reorder point"", ""Reorder point is minimum amount of item, such that, when stock falls to this amount, the item must be reordered."", ""Reorder point depends on safety stock, which in turn depends on lead time"", ""Reorder point in stochastic demand (RQ inventory policy) is usually higher than reorder point in deterministic or constant demand"", ""ORDER-UP-TO policy is different from RQ policy in that inventory is reviewed only at the end of each period (not continuously) but its up-to level is similar in calculation of reorder point in RQ""]","[1, 2, 3, 4]",transport
55,multiple_choice,Select all correct statements about transport and local presence,"[""As transportation and information technology advanced in developed countries, business shifted to reducing the number of warehouses and corresponding logistics costs while maintaining or improving customer service."", ""Logistics Performance Cycle can be defined as the time that includes purchasing, manufacturing, and customer service cycles."", ""As new warehouses are added to supply chain, customer service response improves -performance cycle shortens, however, number of performance cycles and average inventory in supply chain increases with each new warehouse."", ""Consolidation helps achieve economies of scale in transport and postponement is one strategy to achieve consolidation."", ""When transportation is not well developed, it does not make sense for business to operate many warehouses near their customers in order to provide timely and consistent delivery.-""]","[0, 1, 2, 3]",transport
56,multiple_choice,Design of the least-cost transport network involves the following considerations (select all correct answers that apply):,"[""Adding warehouses can improve service and reduce transport cost due to freight consolidation."", ""Adding new warehouses reduces transit inventory but increases safety stock, so the average inventory increases."", ""Too many warehouses increase transport cost because of too small inbound shipments."", ""Number of warehouses should be decided based on either cost of service."", ""Minimization of total cost cannot be the goal of logistical integration""]","[0, 1, 2, 3]",transport
57,multiple_choice,Global impact of COVID-19 on logistics since 2020 (select all statements that apply):,"[""Demand for logistical services increased during the first quarter of 2020 due to the food and grocery, Internet retailing, but declined during the second quarter across all modes."", ""After the pandemic outbreak, demand side disruptions were much smaller than supply-side disruptions."", ""After COVID-19 pandemic, supply chains have to be reconfigured to meet demands by shippers, particularly in the pharmaceutical and healthcare industry."", ""Modal shift: consumer B2C and healthcare growth led to increasing demand for air freight."", ""Unprecedented growth in e-commerce orders from 3PLs since the lockdown (up to 80%)""]","[0, 2, 3, 4]",transport
58,multiple_choice,What are the global trends in transportation after the pandemic outbreak in 2020 (select all that apply)?,"[""Increasing e-commerce activities before and particularly the pandemic in 2020 cannot keep air cargo capacity tight ."", ""Rail, trucking, and multimodal air/sea will keep decreasing between Europe and Asia."", ""Cold chain is growing niche with air cargo demand for transport of pharmaceutical products, healthcare goods, fresh produce, meats, vegetables and flowers due to a growing middle class in Asian countries and the Middle East."", ""Trade tensions between the United States and China since 2019 might cause declines in freight forwarding and intermodal volumes."", ""Reduction of Chinese manufacturing and shift of manufacturing back to developed countries and other locations might lead to reduced ocean freight and boost demand for domestic intermodal transportation""]","[2, 3, 4]",transport
59,multiple_choice,Which of the following examples accurately describes negative externality?,"[""The decision to use transport system implies no costs for others."", ""The decision to use transport system does not lead to sub-optimal use of resources for society."", ""When people drive, they impose no environmental harm on society, for which we don't directly pay any cost."", ""None of the examples"", ""When passengers choose to travel at peak-hour, we cause no delays for our fellow travelers.""]",[3],transport
60,multiple_choice,Which of the following statements about transport networks is NOT correct ?,"[""The linkages between capacity, cost and level-of-service is the central challenge of transportation systems design."", ""If we underinvest in capacity, our level-of-service may be highly competitive."", ""If we overinvest, level-of-service may be fine, but costs will be high and our prices may not be competitive."", ""Making this decision, faced with lumpy investments and the \""hockey stick\"" LOS/volume relation, is difficult.""]",[1],transport
61,multiple_choice,"When there is temporal peaking in demand, should a transport system always satisfy demand?","[""In order to save costs, capacity should be as low as possible. Not satisfying all demand is fine."", ""All demand must be satisfied in any case."", ""Choosing medium capacity (not very high, and not too low) may be a good solution."", ""Finding solution is impossible."", ""None of the other answers""]",[2],transport
62,multiple_choice,Equilibrium between supply and demand in transport systems is:,"[""When supply matches demand in equilibrium."", ""The point where demand curve and supply curve do not intersect."", ""When level of service in transport is the highest."", ""When there is strong incentive to change the equilibrium."", ""When a transport system does not fall down""]",[0],transport
63,multiple_choice,Which TWO statements about pricing and externality are NOT correct?,"[""Congestion pricing means us ing price as an incentive in changing the demand profile."", ""During peaking demand, pricing should maintain demand."", ""During peaking demand, pricing should reduce demand."", ""During peaking demand, pricing should increase demand.""]","[1, 3]",transport
64,multiple_choice,What is an example of well-balanced (centralized vs. decentralized) decision making?,"[""Strong organization silos"", ""Situation when the components (departments) are operating well, but the system (company) performance is still poor."", ""Strong conflict between managers in marketing and operations departments due to different priorities."", ""Marketing managers and operations managers have different functions and priorities, but still work together effectively to achieve organizational goals"", ""None of the other answers.""]",[3],transport
65,multiple_choice,Which of the following examples of demand consolidation is not realistic?,"[""An airline runs a hub-and-spoke operation, it is consolidating people from different origins who have common destinations into airplanes."", ""With trains coming in from stations, an outbound train is built that will have cars from many different inbound trains."", ""Demand consolidation often increases cost of transport."", ""Trucks arrive to warehouse with different products; then one truck combines different products in one shipment."", ""Shipper waits until there are enough orders from different customers for various products to fill a container before sending for delivery.""]",[2],transport
66,multiple_choice,"When delivery time gets longer, it leads to the following (select all consequences that apply):","[""Inventory costs increase"", ""pipeline gets longer"", ""longer delivery time usually means cheaper transport mode than a mode with shorter delivery time"", ""more inventory is required usually"", ""longer delivery times may lead to increase in total logistics cost""]","[0, 1, 2, 3, 4]",transport
67,multiple_choice,Trucking has the following characteristics (select all that apply):,"[""Truck usually use publicly-owned infrastructure"", ""Truck and rail differ in right-of-way technology: the railroads are steel-wheel on steel-rail; the highways are rubber tires on concrete or asphalt."", ""In trucking, internal combustion and diesel engines are less common than electric power."", ""Unlike railroads, the motor-carrier industry tends to have higher variable-cost rather than a fixed cost. This is because motor carriers own their own right-of-way."", ""Trucks have \""tractors\"" which usually pull a single trailer, but sometimes \""tandem-trailers\"". In railroads unlike trucks, rail cars are unpowered, pulled in trains of multiple vehicles by locomotives.""]","[0, 1, 4]",transport
68,multiple_choice,Which statements about market segmentation in transport are correct? (select all that apply),"[""Businesses have different kinds of customers who want various levels of service and want to pay a price depending to service quality."", ""Higher variance of transit time means lower transport rates charged to customers of transportation carriers compared to lower variance"", ""Carriers in transportation usually serve only single customer with one kind of transport service"", ""The shorter transit times with the low variances cause higher cost for the transportation company to provide."", ""Customers in any market usually want to get and pay for the same level of service""]","[0, 1, 3]",transport
69,multiple_choice,Which factors affect LOS (level of service) in transportation (choose all that apply)?,"[""Loss and Damage"", ""Rate Structure"", ""Service Frequency"", ""Service Availability"", ""Equipment Availability and Suitability"", ""Shipment Size"", ""Information"", ""Flexibility""]","[0, 1, 2, 3, 4, 5, 6, 7]",transport
70,multiple_choice,Select CORRECT statements about JIT (choose all that apply).,"[""TOYOTA is well-known company successfuly pioneering use of JIT"", ""In JIT delivery, suppliers usually make shipments less frequently"", ""JIT system of customer could lead suppliers to keep some additional inventory in a warehouse carrying safety stock close to a customer that has JIT system."", ""Companies that have JIT system hold larger inventory and warehouses"", ""JIT means receiving goods \""exactly\"" when they are needed"", ""JIT does not require reliable transportation modes"", ""JIT system is not particularly vulnerable to supply chain disruptions"", ""JIT system implies lower cost of order setup from perspective of EOQ model""]","[0, 2, 4, 7]",transport
71,multiple_choice,Rail freight has the following features (select all correct statements below):,"[""Rail freight is widely used to transport coal, agricultural products, metallic ores and minerals, motor vehicles and equipment."", ""Trucks are less important than rail freight in Europe, Japan, and Latin America compared to US and Australia"", ""Rail industry has lower fixed cost and higher variable cost relative to all other transport modes."", ""Power in rail freight is provided by diesel and electrical locomotives"", ""Specialized right of-way in rail freight provides operating advantage in the ability to haul bulk commodities like coal and grain, at reasonable speed, safely and at low cost.""]","[0, 3, 4]",transport
72,multiple_choice,Maritime shipping has the following characteristics (select all that apply),"[""It is a stable market where the freight rates and demand for service does not often change."", ""Unlike truck freight, maritime shipping business is very hard to enter and exit"", ""There is chronic over-capacity and volatility in that marketplace"", ""There is little economies of scale in maritime shipping""]",[2],transport
73,multiple_choice,Freight has the following characteristics (select all that apply):,"[""Freight is affected by the following factors: Vehicle-Cycle, Vehicles and Infrastructure, Market, Operating Plans and Strategic Plans"", ""The cost structure includes relationship of fixed and variable costs"", ""The nature and ownership structure of the physical assets are affected by: infrastructure, right-of-way, terminals, vehicles"", ""Technology; regulatory framework; and structure of the market all strongly influence freight""]","[0, 1, 2, 3]",transport
74,multiple_choice,Liner trade involves the following considerations (select all that apply):,"[""Port operations are affected by port capacity, dredging, and intermodal productivity"", ""Liner decisions are affected by operating speed, cost, service frequency, and empty Repositioning of Containers"", ""In the liner trade, customer usually do not share the capacity with other customers, and benefits from consolidation by sharing the costs is small."", ""Usually, for merchandise (as opposed to bulk), the cargo that an individual customer has is not enough to fill a ship"", ""Most empty containers are coming back from China to US and Europe""]","[0, 1, 3]",transport
75,multiple_choice,What are usual causes of forecast inaccuracy in estimating future transport demand (select all that apply)?,"[""Economic inputs such as fuel prices"", ""Changes of demand relating to market maturity."", ""Unexpected and rare events (\""black swan\"") such as global pandemic outbreak"", ""Industry and regulatory changes."", ""At local level, uncertainties are usually greater than at national level.""]","[0, 1, 2, 3, 4]",transport
76,multiple_choice,Select correct statements about transport emissions in Europe (choose all that apply):,"[""Transport represents almost a quarter of Europe's greenhouse gas emissions"", ""Transport is the main cause of air pollution in cities"", ""Use of biofuels, electricity, less carbon intense fossil fuels, and renewable fuels of non-biological origin is not likely to contribute to reducing emissions"", ""CO2 emissions from aviation are not included in the EU emissions trading system (EU ETS)"", ""All airlines operating in Europe, European and non-European alike, are required to monitor, report and verify their emissions, and to surrender allowances against those emissions.""]","[0, 1, 4]",transport
77,multiple_choice,Select correct statements about greenhouse gases from transport (choose all that apply):,"[""Aviation is one of the fastest-growing sources of greenhouse gases."", ""Greenhouse ga s emissions from fuels are calculated on a life-cycle basis, including emissions from extraction, processing and distribution."", ""The Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA) does not have specific targets about CO2 emissions"", ""Upstream emissions such as flaring and venting are not significant"", ""Council Directive of EU defines the method to calculate, and the details to report, the greenhouse gas intensity of regulated fuels in Member States""]","[0, 1, 4]",transport
